"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","Q","2021-Q1",5.922328,
"AUS","HUR","TOT","PC_LF","Q","2021-Q2",5.147761,
"AUS","HUR","TOT","PC_LF","Q","2021-Q3",4.645278,
"AUS","HUR","TOT","PC_LF","Q","2021-Q4",4.667696,
"AUS","HUR","TOT","PC_LF","Q","2022-Q1",4.036974,
"AUS","HUR","TOT","PC_LF","Q","2022-Q2",3.78419,
"AUS","HUR","TOT","PC_LF","Q","2022-Q3",3.504757,
"AUT","HUR","TOT","PC_LF","Q","2021-Q1",7.033333,
"AUT","HUR","TOT","PC_LF","Q","2021-Q2",6.766667,
"AUT","HUR","TOT","PC_LF","Q","2021-Q3",5.633333,
"AUT","HUR","TOT","PC_LF","Q","2021-Q4",5.266667,
"AUT","HUR","TOT","PC_LF","Q","2022-Q1",4.6,
"AUT","HUR","TOT","PC_LF","Q","2022-Q2",4.433333,
"AUT","HUR","TOT","PC_LF","Q","2022-Q3",4.966667,
"BEL","HUR","TOT","PC_LF","Q","2021-Q1",6.7,
"BEL","HUR","TOT","PC_LF","Q","2021-Q2",6.266667,
"BEL","HUR","TOT","PC_LF","Q","2021-Q3",6.266667,
"BEL","HUR","TOT","PC_LF","Q","2021-Q4",5.8,
"BEL","HUR","TOT","PC_LF","Q","2022-Q1",5.3,
"BEL","HUR","TOT","PC_LF","Q","2022-Q2",5.8,
"BEL","HUR","TOT","PC_LF","Q","2022-Q3",5.433333,
"CAN","HUR","TOT","PC_LF","Q","2021-Q1",8.4,
"CAN","HUR","TOT","PC_LF","Q","2021-Q2",7.866667,
"CAN","HUR","TOT","PC_LF","Q","2021-Q3",7.166667,
"CAN","HUR","TOT","PC_LF","Q","2021-Q4",6.3,
"CAN","HUR","TOT","PC_LF","Q","2022-Q1",5.766667,
"CAN","HUR","TOT","PC_LF","Q","2022-Q2",5.066667,
"CAN","HUR","TOT","PC_LF","Q","2022-Q3",5.166667,
"CZE","HUR","TOT","PC_LF","Q","2021-Q1",3.266667,
"CZE","HUR","TOT","PC_LF","Q","2021-Q2",3.066667,
"CZE","HUR","TOT","PC_LF","Q","2021-Q3",2.7,
"CZE","HUR","TOT","PC_LF","Q","2021-Q4",2.3,
"CZE","HUR","TOT","PC_LF","Q","2022-Q1",2.366667,
"CZE","HUR","TOT","PC_LF","Q","2022-Q2",2.433333,
"CZE","HUR","TOT","PC_LF","Q","2022-Q3",2.366667,
"DNK","HUR","TOT","PC_LF","Q","2021-Q1",6.133333,
"DNK","HUR","TOT","PC_LF","Q","2021-Q2",5,
"DNK","HUR","TOT","PC_LF","Q","2021-Q3",4.733333,
"DNK","HUR","TOT","PC_LF","Q","2021-Q4",4.5,
"DNK","HUR","TOT","PC_LF","Q","2022-Q1",4.4,
"DNK","HUR","TOT","PC_LF","Q","2022-Q2",4.2,
"DNK","HUR","TOT","PC_LF","Q","2022-Q3",4.6,
"FIN","HUR","TOT","PC_LF","Q","2021-Q1",8.066667,
"FIN","HUR","TOT","PC_LF","Q","2021-Q2",8.133333,
"FIN","HUR","TOT","PC_LF","Q","2021-Q3",7.366667,
"FIN","HUR","TOT","PC_LF","Q","2021-Q4",6.9,
"FIN","HUR","TOT","PC_LF","Q","2022-Q1",6.7,
"FIN","HUR","TOT","PC_LF","Q","2022-Q2",6.433333,
"FIN","HUR","TOT","PC_LF","Q","2022-Q3",7.166667,
"FRA","HUR","TOT","PC_LF","Q","2021-Q1",8.133333,
"FRA","HUR","TOT","PC_LF","Q","2021-Q2",8.1,
"FRA","HUR","TOT","PC_LF","Q","2021-Q3",7.8,
"FRA","HUR","TOT","PC_LF","Q","2021-Q4",7.466667,
"FRA","HUR","TOT","PC_LF","Q","2022-Q1",7.333333,
"FRA","HUR","TOT","PC_LF","Q","2022-Q2",7.566667,
"FRA","HUR","TOT","PC_LF","Q","2022-Q3",7.2,
"DEU","HUR","TOT","PC_LF","Q","2021-Q1",3.9,
"DEU","HUR","TOT","PC_LF","Q","2021-Q2",3.7,
"DEU","HUR","TOT","PC_LF","Q","2021-Q3",3.433333,
"DEU","HUR","TOT","PC_LF","Q","2021-Q4",3.266667,
"DEU","HUR","TOT","PC_LF","Q","2022-Q1",3.1,
"DEU","HUR","TOT","PC_LF","Q","2022-Q2",3,
"DEU","HUR","TOT","PC_LF","Q","2022-Q3",3,
"GRC","HUR","TOT","PC_LF","Q","2021-Q1",16.46667,
"GRC","HUR","TOT","PC_LF","Q","2021-Q2",15.9,
"GRC","HUR","TOT","PC_LF","Q","2021-Q3",13.7,
"GRC","HUR","TOT","PC_LF","Q","2021-Q4",13.13333,
"GRC","HUR","TOT","PC_LF","Q","2022-Q1",13.16667,
"GRC","HUR","TOT","PC_LF","Q","2022-Q2",12.6,
"GRC","HUR","TOT","PC_LF","Q","2022-Q3",12.2,
"HUN","HUR","TOT","PC_LF","Q","2021-Q1",4.333333,
"HUN","HUR","TOT","PC_LF","Q","2021-Q2",4.2,
"HUN","HUR","TOT","PC_LF","Q","2021-Q3",3.9,
"HUN","HUR","TOT","PC_LF","Q","2021-Q4",3.8,
"HUN","HUR","TOT","PC_LF","Q","2022-Q1",3.533333,
"HUN","HUR","TOT","PC_LF","Q","2022-Q2",3.366667,
"HUN","HUR","TOT","PC_LF","Q","2022-Q3",3.633333,
"ISL","HUR","TOT","PC_LF","Q","2021-Q1",6.833333,
"ISL","HUR","TOT","PC_LF","Q","2021-Q2",6.2,
"ISL","HUR","TOT","PC_LF","Q","2021-Q3",5.1,
"ISL","HUR","TOT","PC_LF","Q","2021-Q4",4.5,
"ISL","HUR","TOT","PC_LF","Q","2022-Q1",4.2,
"ISL","HUR","TOT","PC_LF","Q","2022-Q2",3.966667,
"ISL","HUR","TOT","PC_LF","Q","2022-Q3",4,
"IRL","HUR","TOT","PC_LF","Q","2021-Q1",7.2,
"IRL","HUR","TOT","PC_LF","Q","2021-Q2",7,
"IRL","HUR","TOT","PC_LF","Q","2021-Q3",5.566667,
"IRL","HUR","TOT","PC_LF","Q","2021-Q4",5.166667,
"IRL","HUR","TOT","PC_LF","Q","2022-Q1",4.8,
"IRL","HUR","TOT","PC_LF","Q","2022-Q2",4.333333,
"IRL","HUR","TOT","PC_LF","Q","2022-Q3",4.366667,
"ITA","HUR","TOT","PC_LF","Q","2021-Q1",10.16667,
"ITA","HUR","TOT","PC_LF","Q","2021-Q2",9.8,
"ITA","HUR","TOT","PC_LF","Q","2021-Q3",9.1,
"ITA","HUR","TOT","PC_LF","Q","2021-Q4",9,
"ITA","HUR","TOT","PC_LF","Q","2022-Q1",8.5,
"ITA","HUR","TOT","PC_LF","Q","2022-Q2",8.1,
