"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-01"",0.8040201,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-02"",1.204819,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-03"",2.002002,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-04"",1.901902,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-05"",2.819738,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-06"",2.805611,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-07"",2.9,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-08"",3.206413,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-09"",3.293413,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-10"",3.685259,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-11"",4.278607,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-12"",4.253215,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-01"",4.985045,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-02"",5.753968,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-03"",6.771345,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-04"",7.170923,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-05"",7.737512,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-06"",8.674464,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-07"",9.426628,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-08"",9.320389,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-09"",10.62802,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-10"",11.04707,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""M"",""2022-11"",10.5916,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-01"",0.2552648,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-02"",0.455747,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-03"",0.8947321,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-04"",1.232539,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-05"",1.461855,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-06"",1.625274,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-07"",2.268586,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-08"",2.731494,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-09"",2.860537,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-10"",4.159066,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-11"",5.636762,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""M"",""2021-12"",5.708284,"
