"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUS,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q1"",1.114923,"
"AUS,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q2"",3.846154,"
"AUS,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q3"",3.012048,"
"AUS,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q4"",3.498293,"
"AUS,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q1"",5.089058,"
"AUS,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q2"",6.144781,"
"AUS,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q3"",7.26817,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q1"",1.337793,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q2"",2.508361,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q3"",3.133333,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q4"",4.072848,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q1"",5.841584,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q2"",7.862969,"
"AUT,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q3"",9.793148,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q1"",0.5350683,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q2"",1.439878,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q3"",2.619981,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q4"",5.167534,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q1"",7.980284,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q2"",8.975782,"
"BEL,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q3"",10.28048,"
"CAN,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q1"",1.436222,"
"CAN,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q2"",3.349633,"
"CAN,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q3"",4.062272,"
"CAN,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q4"",4.726127,"
"CAN,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q1"",5.831533,"
"CAN,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q2"",7.546723,"
"CAN,""CPI"",""TOT"",""AGRWTH"",""Q"",""2022-Q3"",7.152875,"
"CZE,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q1"",2.188905,"
"CZE,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q2"",2.899851,"
"CZE,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q3"",4.123405,"
"CZE,""CPI"",""TOT"",""AGRWTH"",""Q"",""2021-Q4"",6.129128,"
